Tanggal,Waktu,Lokasi Kebakaran,Kelurahan,Kecamatan,Benda Yang Terbakar,Bangunan Yang Terselamatkan,Penyebab Kebakaran,Korban Meninggal,Korban Luka,Mobil Unit Yang Bertugas,Sumber Air PDAM (m3),Sumber Air Lainnya (m3),Taksiran Kerugian,Luas Areal (M2)
16-Des-18,01:33-01:53+0700,Jl. Natawijaya No. 46 RT. 02 RW. 05,Cibadak,Astanaanyar,Sebuah Mesin Cuci Dan Sebagian Dinding Rumah Dan Sebagian Atap,Sebuah Rumah,Korsleting Listrik,-,-,2 Pancar 1 Komando,-,-,10000000,6
16-Des-18,10:23-10:43+0700,Jl. Geger Kalong Hilir 114B (Pertigaan KPAD),Gegerkalong,Sukasari,Sebuah Mobil Hijet D 1281 WQ,Sebuah Rumah,Korsleting Listrik A,-,-,1 Pancar,4,-,10000000,-
16-Des-18,15:47-16:40+0700,Jl. Garuda 117A RT. 01 RW. 02,Dungus Cariang,Andir,Sebuah Toko Kelontong,3 Buah Rumah,Dalam Penyelidikan,-,-,3 Pancar 1 Rescue 1 Komando 1 Dinkes,12,-,20000000,20
17-Des-18,00:23-00:40+0700,Jl. Simpang Soekarno Hatta - Ibrahim Adjie,Kiaracondong,Batununggal,Sebuah Motor D 5953 ZG,-,Korsleting Listrik,-,-,2 Pancar 1 Komando,APAR,APAR,10000000,-
18-Des-18,10:05-10:30+0700,Jl. LLRE Martadinata No. 157 (Taman Pramuka),Cihapit,Bandung Wetan,Sebuah Mobil Pengangkut Aspal - HINO D 8346 D,-,Perembetan Minyak Tanah Ke Api,-,-,2 Pancar 1 Rescue 1 Tangki 1 Motor QR,-,-,100000000,-
20-Des-18,04:25-04:59+0700,Jl. Ir. H. Djuanda No. 310 RT. 02 RW. 07 Toko Makanan KABOBS,Dago,Coblong,Sebuah Mesin Kasir dan Meja,Sebuah Rumah,Korsleting Listrik,-,-,3 Pancar 1 Rescue 1 Komando 1 PMI,12,-,20000000,4
20-Des-18,06:55-08:00+0700,Jl. Sukahaji Gg. Ahir No. 6 RT. 01 RW. 07,Sukarasa,Sukasari,Sebuah Rumah 2 Lantai,3 Buah Rumah,Kebocoran Tabung,-,1,3 Pancar 1 Rescue 1 Komando 1 PMI 1 Dinkes,12,-,130000000,63
22-Des-18,08:40-10:00+0700,Jl. Mande RT. 04 RW. 04,Karang Pamulang,Mandalajati,Sebuah Rumah - 4 Kepala Keluarga,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar 1 Rescue 1 Dinkes,8,-,20000000,20
24-Des-18,03:53-05:10+0700,Jl. Terusan Golf 3 RT. 04 RW. 01 (Bantaran Kali Cijalumpang),Cisaranten Kulon,Arcamanik,3 Buah Warung - 2 Warung kopi dan 1 Warung Nasi dan 2 Buah Sepeda Motor,-,Dalam Penyelidikan,-,-,1 Pancar 1 Komando 1 PMI 1 Dinkes,8,-,35000000,12
25-Des-18,18:51-21:30+0700,"Jl. Ujung Berung KM. 14,5",Cipadung Kidul,Panyileukan,Sebuah Ruang Wifing Gudang Kain PT. WISTEK,-,Korsleting Listrik,-,-,2 Pancar 1 Komando,4,-,300000000,4
30-Des-18,15:47-16:50+0700,Jl. Cimbuleuit Belakang 83 Gg. Satata Sariksa RT. 06 RW. 02,Hegarmanah,Cidadap,Sebuah Rumah Gubuk,3 Buah Rumah,Dalam Penyelidikan,-,-,3 Pancar 1 Rescue 1 Komando 2 PMI 1 Dinkes,12,-,12000000,12
30-Des-18,Pkl. 17.18-20.05 WIB,Jl. Taman Sari (Kampus ITB),Lebak Siliwangi,Coblong,Sebuah Gedung Kampus Magister ITB,-,Dalam Penyelidikan,-,-,10 Pancar 2 Rescue 2 Tangki 3 Komando 2 PMI 3 Dinkes,52,-,1000000000,912
