Tanggal,Waktu,Lokasi Kebakaran,Kelurahan,Kecamatan,Benda Yang Terbakar,Bangunan Yang Terselamatkan,Penyebab Kebakaran,Korban Meninggal,Korban Luka,Mobil Unit Yang Bertugas,Sumber Air PDAM (m3),Sumber Air Lainnya (m3),Taksiran Kerugian,Luas Areal (M2)
07-Mei-18,07:45-08:20+0700,Jl. Babakan Andir No. 52 RT. 06 RW. 02,Padasuka,Cibeunying Kidul,Sebuah Tabung Gas,Sebuah Rumah,Kebocoran Tabung,-,-,2 Pancar 1 Rescue,-,-,100000,-
08-Mei-18,01:37-02:05+0700,Jl. Pelindung Hewan  Blok D7 RT. 01 RW. 07,Pelindung Hewan,Astanaanyar,Sebuah Rumah,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar,-,-,2000000,2
08-Mei-18,08:28-09:00+0700,Jl. Burangrang,Burangrang,Lengkong,Sebuah Rumah,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar,-,-,2000000,2
08-Mei-18,13:48-14:30+0700,Jl. Curug Candung  Dalam (Moch. Toha) RT. 05 RW. 05,Mekarwangi,Bojongloa Kidul,Sebuah Rumah,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar,8,-,35000000,32
09-Mei-18,23:40-00:15+0700,Jl. Mekar Kencana 1 (Depan Gedung Graha Mekar Wangi),Mekarwangi,Bojongloa Kidul,Sebuah Mobil Sedan Accord D 1740 AH,-,Korsleting Listrik A,-,-,1 Pancar,4,-,30000000,-
13-Mei-18,13:30-14:00+0700,Jl. Kurdi II No. 14 RT. 10 RW. 03,Karasak,Astanaanyar,Sebuah Tabung Gas 3 KG,Sebuah Rumah,Kebocoran Tabung,-,-,1 Pancar,-,-,200000,-
14-Mei-18,21:30-22:00+0700,Jl. Jend Ibrahim Adjie (Fly Over Kiaracondong),Babakan Sari,Kiaracondong,Tumpukan Sampah Dibawah Fly Over,-,Dalam Penyelidikan,-,-,1 Pancar 1 Rescue,4,-,-,-
17-Mei-18,10:20-10:50+0700,Jl. Cihampelas Gg. Bongkaran No. 271 RT. 09 RW. 15,Taman Sari,Bandung Wetan,Lemari Pakaian,Sebuah Rumah,Dalam Penyelidikan,-,-,1 Pancar 1 Rescue,-,-,500000,-
17-Mei-18,18:42-20:00+0700,Jl. Madesa Dalam Gg. Haji Ana RT. 05 RW. 11,Kopo,Bojongloa Kaler,Sebuah Kontrakan 2 Lantai,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar,8,-,10000000,6
20-Mei-18,16:10-16:30+0700,Jl. Cimencrang RT. 01 RW. 03,Cimencrang,Gedebage,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar,-,-,36000000,36
23-Mei-18,11:52-12:25+0700,Jl. Soekarno Hatta No. 154 RT. 03 RW. 08,Warung Muncang,Bandung Kulon,Sebuah Gudang Serabut,-,Dalam Penyelidikan,-,-,3 Pancar 1 Tangki,12,-,36000000,36
27-Mei-18,21:27-22:10+0700,Jl. Dr. Setiabudhi No. 68 (Auto 2000),Hegarmanah,Cidadap,Sebuah Travo Listrik Utama,-,Korsleting Listrik,-,-,1 Pancar 1 Rescue 1 Komando 1 PLN,-,-,1000000,-
28-Mei-18,13:10-13:48+0700,Jl. Soekarno Hatta No. 817 RT. 04 RW. 06,Mekar Mulya,Panyileukan,Sebuah Lahan Alang-alang,-,Dalam Penyelidikan,-,-,2 Pancar,8,-,-,200
31-Mei-18,05:10-05:45+0700,Jl. Kopo Gg. H. Yusuf 1 No. 26 RT. 10 RW. 01,Babakan Asih,Bojongloa Kaler,Dapur Sebuah Rumah,4 Buah Rumah,Kebocoran Gas,-,-,1 Pancar,-,-,2000000,2
31-Mei-18,20:10-21:40+0700,Jl. Buana Sari V RT. 08 RW. 04,Kujang Sari,Bandung Kidul,Sebuah Pabrik - Pabrik Astro Papper,-,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 Dinkes,-,-,100000000,100
06/02/2018,19:39-21:50+0700,Jl. Gedebage RT. 04 RW. 05,Cisaranten Kidul,Gedebage,40 Puluh Buah Rumah Semi Permanen,50 Buah Rumah,Bakaran Sampah,-,-,13 Pancar 2 Rescue 1 Komando 1 Dinkes 2 PMI 1 Pancar Bintang Agung,52,-,6000000000,6000
06/02/2018,22:15-22:45+0700,Jl. Cijambe,Pasir Endah,Ujungberung,Tempat Pembuangan Sampah,-,Bakaran Sampah,-,-,5 Pancar 1 Rescue 1 PMI 1 Dinkes,4,-,-,2000
06/02/2018,23:12-23:40+0700,Jl. Setiabudhi Depan No. 104,Gegerkalong,Sukasari,Tumpukan Sampah,-,Rokok,-,-,4 Pancar 1 Rescue 1 Komando 2 PMI 1 Dinkes,4,-,-,-
06/03/2018,21:15-22:45+0700,Jl. Kiaracondong (Depan Griya),Kebon Waru,Batununggal,2  Buah Kios Buah,-,Bakaran Sampah,-,-,4 Pancar 2 Rescue 1 PMI,16,-,60000000,60
06/04/2018,21:05-22:20+0700,Jl. Terusan Jamika Gg. Masduki RT. 02 RW. 06,Jamika,Bojongloa Kaler,5 Buah Kontrakan,7 Buah Rumah,Dalam Penyelidikan I,-,-,5 Pancar 1 Rescue,24,-,250000000,240
06/05/2018,11:15-11:50+0700,Jl. Soekarno Hatta No. 238 RT. 01 RW. 09,Mekarwangi,Bojongloa Kidul,Sebuah Oven Untuk Pengecatan,-,Korsleting Listrik,-,-,1 Pancar,4,-,24000000,24
06/06/2018,03:59-04:35+0700,Jl. Turangga No. 15,Lingkar Selatan,Lengkong,Plafon/Atap Sebuah Rumah,Sebuah Rumah,Korsleting Listrik,-,-,2 Pancar 1 Rescue 1 Komando 1 PMI,4,-,-,-
06/07/2018,16:38-17:40+0700,Jl. Malabar (Belakang Hotel Papandayan) RT. 02 RW. 05,Malabar,Lengkong,3 Buah Rumah,5 Buah Rumah,Dalam Penyelidikan,-,-,7 Pancar 1 Tangki 2 Rescue 2 Komando 1 Dinkes 3 PMI 1 PLN,32,-,100000000,90
06/09/2018,10:55-11:10+0700,Jl. Kopo Gg. Sukaleueur No. 507/198A RT. 06 RW. 05,Babakan Asih,Bojongloa Kaler,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar,-,-,10000000,6
06/09/2018,11:04-11:55+0700,Komplek Batunggal Jelita II No. 42 RT. 05 RW. 05,Mengger,Bandung Kidul,Sebuah Rumah - Tingkat 3,3 Buah Rumah,Korsleting Listrik,-,-,3 Pancar 1 Rescue 1 PMI,12,-,25000000,12
06/09/2018,15:50-17:00 +0700,Jl. Otto Iskandardinata No. 70 (Pasar Baru Trade Center) RT. 01 RW. 01,Kebon Jeruk,Andir,Tumpukan Sampah Diruangan Blower Lantai 3,-,Korsleting Listrik,-,-,2 Pancar 1 Rescue,-,-,-,-
06/10/2018,13:30-16:30+0700,Jl. Pasir Jati No. 12 RT. 02 RW. 10,Cigending,Ujungberung,Sekolah SMP Negeri 50 Bandung,-,Dalam Penyelidikan,-,-,7 Pancar 2 Rescue 1 Tangki 1 Quick Respon 2 Komando 1 Dinkes 1 PMI,32,-,500000000,216
06/12/2018,10:45-11:45+0700,Jl. Soekarno Hatta No. 843 RT. 04 RW. 05,Mekar Mulya,Panyileukan,Sebuah Rumah Makan,3 Buah Rumah,Kebocoran Tabung,-,2,3 Pancar 1 Rescue 1 PMI 1 Dinkes,12,-,150000000,12
06/14/2018,15:30-16:00+0700,Jl. Gambuh No. 10 RT. 05 RW. 09,Turangga,Lengkong,Dapur Sebuah Rumah,4 Buah Rumah,Kebocoran Tabung,-,-,2 Pancar,4,-,2000000,2
06/14/2018,15:10-16:30+0700,Jl. Cigondewah Kaler RT. 02 RW. 09,Cigondewah Kaler,Bandung Kidul,Sebuah Lahan Kosong,-,Dalam Penyelidikan,-,-,3 Pancar,12,-,-,200
06/16/2018,07:04-07:40+0700,Pertigaan Jl. Teratai dan Jl. Kembang Sepatu RT. 08 RW. 10,Samoja,Batununggal,5  Buah Kios,-,Korsleting Listrik,-,-,4 Pancar 2 Rescue 1 PMI,16,-,50000000,48
06/17/2018,04:00-05:00+0700,Jl. Wastukencana No. 2 Area Taman Balaikota Bandung,Babakan Ciamis,Sumur Bandung,Sebuah Pohon Karet,-,Pembakaran oleh Orang Kurang Waras,-,-,1 Pancar 1 Rescue,4,-,-,5
06/17/2018,10:30-11:00+0700,Gg. Sukamulya 2 RT. 05 RW. 09,Suka Asih,Bojongloa Kaler,Bagian Dapur Sebuah Rumah,4 Buah Rumah,Kebocoran Tabung,-,-,1 Pancar,-,-,4000000,4
06/18/2018,-,Pkl. Sadakeling I No. 46 RT. 03 RW. 06,Burangrang,Lengkong,Sebuah Kamar Tidur Rumah,4  Buah Rumah,Obat Nyamuk Bakar,1,-,4 Pancar 1 Rescue 1 Komando,16,-,5000000,4
06/22/2018,21:45-22:00+0700,Jl. Mutiara 3 RT. 10 RW. 08,Turangga,Lengkong,Sebuah Box Kabel Listrik PLN,Sebuah Rumah,Korsleting Listrik,-,-,1 Pancar 1 Pusat 1 PLN,16,-,10000000,240
06/23/2018,16:30-17:05+0700,Jl. Sukajadi (Depan Polsek Sukajadi),Sukagalih,Sukajadi,Sebuah Pohon Ganitri,-,Dalam Penyelidikan,-,-,1 Pancar 1 Rescue,4,-,-,-
06/24/2018,09:00-10:00+0700,Jl. Babakan Gaya RT. 02 RW. 02,Sukamulya,Ujungberung,Sebuah Rumah 2 Lantai,3 Buah Rumah,Bakaran Korek Api,-,-,1 Pancar 1 Rescue 1 Komando 1 Dinkes 1 PLN,-,-,40000000,18
06/25/2018,13:05-13:58+0700,Jl. Sudirman No. 121 (Sahara Club Dangdut Dan Karaoke),Astanaanyar,Astanaanyar,Sebuah Instalasi Listrik di Room 8,-,Korsleting Listrik,-,-,1 Pancar 1 Komando 1 PMI 1 PLN,-,-,10000000,6
06/26/2018,21:05-21:45+0700,Jl. Pajagalan No. 51 RT. 05 RW. 07,Astanaanyar,Astanaanyar,Sebuah Kabel Listrik Dalam,Sebuah Rumah,Korsleting Listrik,-,-,1 Pancar 1 Komando,-,-,-,-
07/01/2018,11:00-13:10+0700,Gg. Wangsadireja No. 388 RT. 03 RW. 02,Sukamaju,Cibeunying Kidul,6  Buah Rumah,8  Buah Rumah,Dalam Penyelidikan,-,-,5 Pancar 1 Rescue 1 Tangki 1 Komando 1 PMI 1 Dinkes 1 PLN,24,-,500000000,246
07/03/2018,06:27-07:50+0700,Jl. Dr. Curie Depan No. 50 (Belakang Rumah Walikota) RT. 02 RW. 01,Pasirkaliki,Cicendo,Sebuah Pohon Mahoni,-,Rokok,-,-,1 Pancar 1 Rescue 1 Komando,4,-,-,-
07/03/2018,06:37-08:00+0700,Jl. Dr. Sukimin RT. 02 RW. 01,Pasirkaliki,Cicendo,Sebuah Pohon Mahoni,-,Rokok,-,-,1 Pancar 1 Rescue 1 Komando,4,-,-,-
07/04/2018,05:08-06:15+0700,Jl. Kopo Gg. H. Mukti RT. 07 RW. 06,Situsaeur,Bojongloa Kidul,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,4 Pancar 1 Rescue 1 Komando 1 Dinkes 1 PLN,16,-,220000000,110
07/04/2018,21:05-21:12+0700,Jl. Kopo Gg. H. Mukti RT. 07 RW. 06 Penyalaan Kembali,Situsaeur,Bojongloa Kidul,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar,4,-,-,110
07/05/2018,13:14-13:50+0700,Jl. Gempol Wetan No. 139 RT. 03 RW. 05,Citarum,Bandung Wetan,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,4 Pancar 1 Rescue 1 Komando 1 Dinkes 1 PLN,16,-,25000000,12
07/06/2018,14:43-16:11+0700,Jl. Cijawura Girang RT. 05 RW. 12,Sekejati,Buahbatu,Sebuah Gudang Kosong,3 Buah Rumah,Rokok,-,-,3 Pancar 1 Rescue 1 Tangki 1 Komando 1 Dinkes,12,-,200000000,200
07/07/2018,05:40-06:18+0700,Jl. Cibaduyut Raya RT. 01 RW. 06,Cibaduyut,Bojongloa Kidul,Sebuah Gudang Barang Bekas,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar 1 Komando,4,-,35000000,32
07/07/2018,13:18-16:50+0700,Jl. Dirgantara 8 Blok Reungas RT. 04 RW. 06,Gempol Sari,Bandung Kulon,Tumpukan Kain Dalam Gudang,3 Buah Rumah,Korek Api,-,-,7 Pancar 1 Rescue 1 Komando 1 Dinkes 1 Pancar Cimahi,28,-,115000000,112
07/08/2018,00:45-02:40+0700,Jl. Kopo Cirangrang RT. 04 RW. 03,Cirangrang,Babakan Ciparay,Sebuah Gudang Kayu,3 Buah Rumah,Dalam Penyelidikan,-,-,3 Pancar 1 Rescue 1 Tangki 1 Komando 1 Dinkes 1 PMI,16,-,20000000,20
07/09/2018,20:00-20:45+0700,Taman Hewan (Pet Park) Jl. Ciliwung No. 14,Cihapit,Bandung Wetan,Sebuah Pohon Angsana,-,Dalam Penyelidikan,-,-,1 Tangki 1 Rescue,4,-,-,25
07/09/2018,14:45-17:15+0700,Jl. Tera Gg. Enur RT. 02 RW. 05,Braga,Sumur Bandung,15 Buah Rumah,20 Buah Rumah,Kompor Gas,-,4,9 Pancar 2 Rescue 1 Tangki 2 Komando 1 Dinkes 3 PMI,36,-,1800000000,1800
07/11/2018,15:20-16:00+0700,Gg. Babakan Raksa RT. 06 RW. 06,Pelindung Hewan,Astanaanyar,Sebuah Tabung Gas,Sebuah Rumah,Kebocoran Tabung,-,-,1 Pancar,-,-,200000,-
07/11/2018,10:12-10:55+0700,Jl. Kampus 5 No. 7 RT. 05 RW. 08,Babakan Sari,Kiaracondong,Lahan Alang-Alang dan Tumpukan Kayu,-,Pembakaran Sampah,-,-,1 Pancar,-,-,-,90
07/12/2018,12:43-13:20+0700,Jl. Soekarno Hatta No. 801 (Samping SPBU Gede Bage),Babakan Penghulu,Cinambo,Lahan Alang-Alang,-,Api dari alat pemotong besi menyambar rumput,-,-,3 Pancar 1 Rescue,12,-,-,200
07/13/2018,12:21-13:10+0700,Jl. Soekarno Hatta (Bunderan Cibiru),Panyileukan,Panyileukan,Lahan Alang-Alang,-,Pembakaran Sampah,-,-,1 Pancar 1 Komando,4,-,-,100
07/14/2018,12:05-12:55+0700,Jl. Soekarno Hatta No. 521 Perempatan Buah Batu RT. 01 RW. 07,Cijagra,Lengkong,Lahan Alang-Alang,-,Dalam Penyelidikan,-,-,3 Pancar 1 Rescue 1 Tangki,16,-,-,8000
07/14/2018,12:55-13:20+0700,Jl. Antabaru Dalam I No. 2 RT. 03 RW. 01,Margasari,Buahbatu,Lahan Alang-Alang,-,Pembakaran Sampah,-,-,4 Pancar 1 Rescue 1 Tangki,20,-,-,170
07/15/2018,00:40-08:10+0700,Jl. Soekarno Hatta Pasar Gede Bage RT. 04 RW. 06,Mekarmulya,Panyileukan,800  Buah Kios,-,Dalam Penyelidikan,-,-,13 Pancar 2 Rescue 2 Tangki 1 Komando 1 Q. Respon 2 PMI 2 Dinkes 1 Cimahi 1 B. Agung,60,-,12000000000,12000
07/15/2018,02:50-03:35+0700,Jl. Rajawali No. 13,Maleber,Andir,Sebuah Pos Gibas Ranting,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Komando 2 Cimahi,8,-,20000000,20
07/16/2018,05:53-06:00 +0700,Jl. Holis (Dekat Kantor PLN Rayon Kopo) RT. 001 RW. 009,Caringin,Bandung Kulon,Sebuah Kios Makanan,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar 1 Komando,4,-,15000000,12
07/17/2018,21:57-22:30+0700,Jl. Diponegoro (Depan RRI) RT. 01 RW. 08,Cilaki,Bandung Wetan,Sebuah Pohon Palem,-,Pembakaran Sampah,-,-,1 Pancar 1 Rescue,4,-,-,-
07/19/2018,18:30-22:13+0700,Jl. Kopo Gg. Pakasih RT. 05 RW. 07,Kebon Lega,Bojongloa Kidul,Lahan Alang-Alang,-,Pembakaran Sampah,-,-,3 Pancar 1 Tangki,16,-,-,40
07/20/2018,00:58-01:25+0700,Jl. Dr. Djundjunan No. 133,Pajajaran,Cicendo,Sebuah Tiang Listrik,-,Korsleting Listrik,-,-,1 Pancar 1 Komando 1 PLN,-,-,-,-
07/20/2018,01:05-01:40+0700,Jl. Cicendo No. 2 RT. 04 RW. 01,Babakan Ciamis,Sumur Bandung,Tumpukan Sampah Dan Daun Kering,-,Pembakaran Sampah,-,-,2 Pancar 1 Rescue 1 Komando,8,-,-,6
07/20/2018,12:15-12:30+0700,Jl. Rumah Sakit No. 3 RT. 01 RW. 01,Sukamulya,Cinambo,Sebuah Toko Mebeul dan Warung Nasi,3 Buah Rumah,Dalam Penyelidikan,-,-,9 Pancar 2 Tangki 2 Rescue 1 PMI 1 Dinkes 1 B. Agung,44,-,300000000,150
07/22/2018,12:10-12:40+0700,Jl. Aceh (Sebrang Hotel Arya Duta),Babakan Ciamis,Sumur Bandung,Lahan Alang-Alang,-,Rokok,-,-,1 Pancar 1 Rescue,4,-,-,100
07/22/2018,12:34-13:30+0700,Jl. Pelesiran Gg. 13 No. 130/35B RT. 01 RW. 06,Cipaganti,Coblong,Rumah Semi Permanen,3 Buah Rumah,Korsleting Listrik,-,1,4 Pancar 1 Tangki 2 Rescue 1 PMI 1 Dinkes,20,-,35000000,32
07/22/2018,20:13-21:15+0700,Kp. Babakan Penghulu RT. 05 RW. 04,Babakan Penghulu,Cinambo,3 Buah Kandang - Kandang Ayam - Kandang Kambing dan Kandang Bebek,-,Pembakaran Rumput,-,-,2 Pancar,8,-,15000000,50
07/24/2018,11:56-12:40+0700,Jl. Cijerah No. 33 Gg. Lurah RT. 01 RW. 06,Cibuntu,Bandung Kulon,Sebuah Pabrik Bagian Gudang Majun,-,Korsleting Listrik,-,-,4 Pancar 1 Rescue 2 PMI 1 Dinkes,16,-,100000000,100
07/25/2018,19:35-20:25+0700,Jl. Sersan Sodik Gg. Pada Rahayu RT. 02 RW. 01,Isola,Sukasari,Dapur Sebuah Rumah,4 Buah Rumah,Dari Hawu,-,-,1 Pancar 1 Komando,4,-,20000000,16
07/26/2018,13:52-14:53+0700,Jl. Soekarno Hatta RT. 03-07-08 RW. 04,Cibuntu,Bandung Kulon,Sebuah Lahan Kosong,-,Pembakaran Sampah,-,-,4 Pancar 1 Tangki 1 Rescue 1 Komando,20,-,-,1700
07/26/2018,15:05-15:42+0700,Jl. Kalijati Gg. Sukanegla RT. 06 RW. 01,Antapani Kulon,Antapani,Sebuah Rumah Permanen,3 Buah Rumah,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 Komando 1 PMI,8,-,70000000,35
07/27/2018,14:43-15:45+0700,Jl. Sekemala Ujung Berung RT. 02 RW. 11,Pasanggrahan,Ujungberung,Sebuah Rumah,3 Buah Rumah,Dalam Penyelidikan,-,-,3 Pancar 2 Rescue 1 Dinkes 1 PMI,12,-,75000000,75
07/27/2018,21:08-22:06+0700,Jl. Bukit Jarian Dalam No. 38 RT. 04 RW. 11,Hegarmanah,Cidadap,Dapur Sebuah Rumah,4 Buah Rumah,Dari Tungku Saat Masak Air,-,-,1 Pancar 1 Komando 1 PMI 1 Dinkes,-,-,10000000,8
07/28/2018,12:20-13:30+0700,Jl. Bukit Raya Atas Kp. Cihanja RT. 02 RW. 10,Ciumbuleuit,Cidadap,Dapur Sebuah Rumah,4 Buah Rumah,Korsleting Listrik,-,-,4 Pancar 1 Rescue 1 Komando 1 Dinkes,16,-,48000000,24
07/28/2018,15:54-16:20+0700,Jl. Buah Batu 122 RT. 02 RW. 05,Cijagra,Lengkong,Lahan Alang-Alang,-,Pembakaran Oleh Anak Kecil,-,-,2 Pancar,-,-,-,225
07/28/2018,16:17-17:30+0700,Jl. Pasir Leutik No. 25A RT. 06 RW. 09,Sukapada,Cibeunying Kidul,Sebuah Toko - 1 Mobil dan 1 Motor,3 Buah Rumah,Dari Serutan Kayu,-,-,4 Pancar 1 Tangki 1 Komando 2 Rescue 1 Dinkes,20,-,180000000,90
07/29/2018,17:11-17:30+0700,Jl. Peta No. 63 (Samping Primarasa) RT. 03 RW. 0,Pelindung Hewan,Astanaanyar,Sebuah Lahan Kosong,3 Buah Rumah,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 Komando,4,-,-,375
07/30/2018,17:44-19:15+0700,Jl. Batu Raden 4 RT. 05 RW. 07,Mekarjaya,Rancasari,Tumpukan Jerami,3 Buah Rumah,Pembakaran Jerami,-,-,1 Pancar,4,-,-,-
07/31/2018,04:32-05:05+0700,Jl. Sukasenang No. 6 RT. 11 RW. 13,Cikutra,Cibeunying Kidul,Sebuah Rumah Kosong,3 Buah Rumah,Pembakaran Sampah,-,-,2 Pancar 1 Rescue 1 Komando,8,-,10000000,5
07/31/2018,21:45-22:18+0700,Jl. Bekatonik Komp. Bekamin RT. 06 RW. 11,Cikutra,Cibeunying Kidul,Sebuah Lahan Kosong Tempat Penitipan Roda,3 Buah Rumah,Dalam Penyelidikan,-,-,1 Pancar 1 Komando,-,-,-,200
02-Agu-18,04:43-06:30+0700,Jl. Moh.Toha Gg. H.Kurdi 2  No. 11 dan No. 02 RT. 08 RW. 01,Karasak,Astanaanyar,2 Rumah,4 Buah Rumah,Listrik,-,-,8 Pancar 2 Tangki 2 Komando 1 Dinkes,40,-,500000000,270
06-Agu-18,10:30-11:00+0700,Komp. Dadali RT. 01 RW. 09,Maleber,Andir,Lahan Kosong,-,Dalam Penyelidikan,-,-,1 Pancar,4,-,-,120
09-Agu-18,10:30-11:00+0700,Jl. Sumatra 20 RT. 01 RW. 05,Braga,Sumur Bandung,Atap Rumah Bagian Samping,4 Buah Rumah,Pembakaran Sampah,-,-,2 Pancar 1 Rescue 1 Komando 1 Pmi,-,-,6000000,6
10-Agu-18,04:40-05:45+0700,Bengkel CGI Motorsport Jl. Karapitan No. 117 RT. 05 RW. 06,Burangrang,Lengkong,Mobil Jeep Rusia dan Motor Beat,4 Buah Rumah,Listrik,-,-,2 Pancar1 Rescue 1 Komando 1 Snorkel 1 Pmi 1 Dinkes,8,-,100000000,12
11-Agu-18,12:10-12:47+0700,Jl. Taman Sari RT. 05 RW. 04,Taman Sari,Bandung Wetan,Rumah 2 Lantai,3 Buah Rumah,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 Komando,8,-,5000000,5
13-Agu-18,22:56-23:29+0700,Jl. A.H Nasution RT. 02 RW. 01,Cipadung,Panyileukan,Kamar Tidur,3 Buah Rumah,Listrik,-,-,1 Pancar 1 Komando,4,-,120000000,6
15-Agu-18,10:59-11:30+0700,Jl. Taman Cibunut RT. 04 RW. 03,Kebon Pisang,Sumur Bandung,Bagian Atap Almunium,Sebuah Rumah,Api Las Listrik Menyambar,-,-,1 Pancar 2 Rescue,-,-,100000,5
17-Agu-18,13:15-13:50+0700,Komp. Sanggar Hurip Jl. Sanggar Kencana RT. 02 RW. 02,Jatisari,Buahbatu,Alang alang,-,Dalam Penyelidikan,-,-,2 Pancar 1 Tangki 1 Rescue,12,-,-,60
18-Agu-18,16:43-18:30+0700,Jl. Kartika 3 No. 101 RT. 01 RW. 02,Gegerkalong,Sukasari,Rumah,3 Buah Rumah,Kompor,-,-,4 Pancar 2 Tangki 2 Rescue,24,-,600000000,30
19-Agu-18,14:48-15:30+0700,Jl. A.H. Nasution No. 24 RT. 01 RW. 10,Cigending,Ujungberung,Alang Alang,-,Dalam Penyelidikan,-,-,2 Pancar 1 Rescue 1 Komando,8,-,-,200
19-Agu-18,17:15-18:00+0700,Jl. Anthorium Raya RT. 04 RW. 04,Cisaranten Kulon,Arcamanik,Alang Alang,-,Pembakaran,-,-,2 Pancar 1 Rescue 1 Komando,8,-,-,10
19-Agu-18,18:11-20:00+0700,Jl. A.H. Nasution Komp. PT. Tanpres,Bandung Wetan,Panyileukan,Alang Alang,-,Pembakaran,-,-,8 Pancar 2 Tangki 2 Rescue,40,-,-,20000
20-Agu-18,05:52-06:25+0700,Jl. Peta (Pasar Burung Suka Haji),Suka Asih,Bojongloa Kaler,Kandang Ayam,-,Rokok,-,-,1 Pancar,-,-,-,3
21-Agu-18,11:08-11:50+0700,Jl. Tubagus Ismail Komp. Alamanda Blok F RT. 06/04,Sekeloa,Coblong,Alang alang,-,Dalam Penyelidikan,-,-,3 Pancar 1 Rescue,12,-,-,350
22-Agu-18,17:25-19:30+0700,Jl. Soekarno Hatta No. 108 RT.  02/07 PT. Cahaya Berlian Lestari,Babakan Ciparay,Babakan Ciparay,Pabrik Bagian Gudang Tumpukan Kertas Sampah,Bangunan Lainnya,Dalam Penyelidikan,-,-,8 Pancar 2 Tanki 1 Rescue 1 Komando 1 Dinkes,40,-,140000000,140
24-Agu-18,19:11-21:00+0700,Jl. Baladewa Gg. III RT. 02/09,Pajajaran,Cicendo,Rumah 2 Lantai,3 Buah Rumah,Lilin,-,-,3 Pancar 1 Rescue 1 PMI 1 Dinkes,12,-,25000000,12
25-Agu-18,05:40-06:50+0700,Jl. Simpang Cigiringsih Komp. Simpai Asih RT.  04/04,Pasir Endah,Ujungberung,Rumah Pembuatan Jamur,3 Buah Rumah,Dalam Penyelidikan,-,-,2 Pancar 1 Komando,8,-,10000000,10
25-Agu-18,19:35-19:58+0700,Jl. Soekarno Hatta Depan Deler Suzuki RT. 01/60,Situsaeur,Bojongloa kidul,Alang-Alang,-,Dalam Penyelidikan,-,-,2 Pancar 1 Komando,8,-,-,70
25-Agu-18,23:48-00:30+0700,Jl. Waas RT.  08/01,Batununggal,Bandung kidul,Alang - Alang,-,Pembakaran Sampah,-,-,1 Pancar 1 Rescue 1 Komando,4,-,-,20
27-Agu-18,18:29-18:50+0700,Jl. Surapati No. 171 RT. 06 RW. 09,Sukaluyu,Cibeunying Kaler,Tiang Listrik,-,Korsleting Listrik,-,-,1 Pancar 1 Rescue,-,-,-,-
09/01/2018,12:58-13:50+0700,Tol paster KM 2 Arah Bandung,Sukaraja,Cicendo,Mobil Sedan HRV,-,Korsleting Listrik,-,-,2 Pancar 1 Rescue,8,-,250000000,-
09/03/2018,16:55-23:20+0700,Jl. Soekarno Hatta RT. 04 RW. 06,Mekarmulya,Panyileukan,Kios Pasar Los 6 - 7 dan Los Auning,-,Dalam Penyelidikan,-,-,13 Pancar 2 Tangki 2 Rescue 1 Quick 4 Comado 2 KAS BDG 1 KBB 1 B Agung 2 PMI 1 Dinkes 1 Puskesmas,60,-,1200000000,1200
09/04/2018,11:15-11:45+0700,Jl. Terusan Jalan Jakarta RT. 04 RW. 04,Antapani Tengah,Antapani,Alang-alang,-,Rokok,-,-,2 Pancar 1 Rescue,8,-,-,400
09/05/2018,14:05-14:34+0700,Jl. Soekarno Hatta (Sebrang Apatermen Taman Sari Panoramic),Babakan Penghulu,Cinambo,Alang-alang,-,Pembakaran Sampah,-,-,2 Pancar,8,-,-,30
09/06/2018,02:40-03:30+0700,Jl. Bojong Awi Kidul RT. 04 RW. 04,Cisaranten Bina Harapan,Arcamanik,Sebuah Kontrakan,3 Buah Rumah,Rokok,-,-,2 Pancar 1 Comando,8,-,12000000,12
09/07/2018,17:38-18:16+0700,Jl. Sari Wates No. 27 RT. 03 RW. 04,Antapani Kidul,Antapani,Ruko Lantai 3 Kamar Mandi,3 Buah Rumah,Korsleting Listrik,-,-,2 Pancar 1 Rescue,8,-,10000000,5
09/08/2018,10:03-10:45+0700,Jl. Setia Budhi No. 29 G-H,Hegarmanah,Cidadap,Jalur Cerobong Asap Sebuah Ruko,3 Buah Rumah,Korsleting Listrik,-,-,3 Pancar 2 Rescue 1 Comando 1 Dinkes 1 PMI,12,-,15000000,12
