"Tanggal","Durasi (Menit)","Kecamatan","Penyebab Kebakaran"
"Sunday, August 18, 2019","45","Andir","Masih Dalam Penyelidikan"
"Sunday, August 18, 2019","74","Antapani","Pembakaran Sampah"
"Sunday, August 18, 2019","43","Gedebage","Pembakaran Sampah"
"Monday, August 19, 2019","28","Lengkong","Korsleting Kabel A"
"Monday, August 19, 2019","23","Bandung Wetan","Korsleting Listrik"
"Wednesday, August 21, 2019","39","Antapani","Pembakaran Sampah"
"Thursday, August 22, 2019","50","Cicendo","Masih Dalam Penyelidikan"
"Thursday, August 22, 2019","9","Batununggal","Korsleting Listrik"
"Thursday, August 22, 2019","47","Lengkong","Masih Dalam Penyelidikan"
"Thursday, August 22, 2019","37","Rancasari","Pembakaran Jerami"
"Friday, August 23, 2019","98","Bandung Kulon","Pembakaran Sampah"
"Saturday, August 24, 2019","55","Batununggal","Masih Dalam Penyelidikan"
"Sunday, August 25, 2019","107","Bandung Kulon","Pembakaran Sampah"
"Monday, August 26, 2019","50","-","Masih Dalam Penyelidikan"
"Monday, August 26, 2019","93","Astanaanyar","Kompor"
"Tuesday, August 27, 2019","127","Cidadap","Masih Dalam Penyelidikan"
"Wednesday, August 28, 2019","50","Sukasari","Kebocoran Tabung Gas"
"Thursday, August 29, 2019","27","Cibeunying Kidul","Korsleting Listrik"
"Thursday, August 29, 2019","51","Cidadap","Kompor Gas"
"Friday, August 30, 2019","80","Bojongloa Kaler","Masih Dalam Penyelidikan"
"Friday, August 30, 2019","90","Lengkong","Masih Dalam Penyelidikan"
"Friday, August 30, 2019","36","Sukajadi","Masih Dalam Penyelidikan"
"Saturday, August 31, 2019","135","Cibeunying Kidul","Pembakaran Sampah"
"Sunday, September 01, 2019","50","Arcamanik","Pembakaran Sampah"
"Monday, September 02, 2019","35","Cinambo","Korseleting Listrik"
"Thursday, September 05, 2019","102","Cibeunying Kidul","Masih Dalam Penyelidikan"
"Friday, September 06, 2019","76","Andir","Masih Dalam Penyelidikan"
"Saturday, September 07, 2019","5","Sukasari","Masih Dalam Penyelidikan"
"Saturday, September 07, 2019","135","Bandung Kulon","Masih Dalam Penyelidikan"
"Saturday, September 07, 2019","138","Buahbatu","Masih Dalam Penyelidikan"
"Sunday, September 08, 2019","30","Arcamanik","Masih Dalam Penyelidikan"
"Monday, September 09, 2019","55","Cibiru","Masih Dalam Penyelidikan"
"Monday, September 09, 2019","35","Astanaanyar","Kebocoran Tabung Gas"
"Tuesday, September 10, 2019","136","Babakan Ciparay","Masih Dalam Penyelidikan"
"Wednesday, September 11, 2019","54","Cibiru","Pembakaran Tungku"
"Wednesday, September 11, 2019","75","Buahbatu","Korsleting Listrik"
"Friday, September 13, 2019","109","Lengkong","Pembakaran Sampah"
"Friday, September 13, 2019","50","Buahbatu","Masih Dalam Penyelidikan"
"Friday, September 13, 2019","136","Cicendo","Masih Dalam Penyelidikan"
"Saturday, September 14, 2019","56","Lengkong","Masih Dalam Penyelidikan"
"Saturday, September 14, 2019","61","Sumur Bandung","Diduga Dari Puntung Rokok"
"Sunday, September 15, 2019","81","Gedebage","Pembakaran Sampah"
"Tuesday, September 17, 2019","50","Batununggal","Kebocoran Tabung Gas"
"Wednesday, September 18, 2019","141","Babakan Ciparay","Masih Dalam Penyelidikan"
"Friday, September 20, 2019","50","Kiaracondong","Korsleting Listrik"
"Friday, September 20, 2019","45","Kiaracondong","Masih Dalam Penyelidikan"
"Sunday, September 22, 2019","26","Astanaanyar","Masih Dalam Penyelidikan"
"Sunday, September 22, 2019","45","Regol","Korsleting Listrik"
"Monday, September 23, 2019","34","Andir","Korsleting Listrik"
"Monday, September 23, 2019","32","Bojongloa Kaler","Masih Dalam Penyelidikan"
"Monday, September 23, 2019","96","-","Korsleting Listrik"
"Tuesday, September 24, 2019","100","Babakan Ciparay","Masih Dalam Penyelidikan"
"Tuesday, September 24, 2019","45","-","Masih Dalam Penyelidikan"
"Wednesday, September 25, 2019","27","-","Masih Dalam Penyelidikan"
"Wednesday, September 25, 2019","70","-","Masih Dalam Penyelidikan"
"Wednesday, September 25, 2019","67","-","Pembakaran Tungku"
"Thursday, September 26, 2019","45","-","Pembakaran Sampah"
"Friday, September 27, 2019","60","-","Kompor"
"Friday, September 27, 2019","42","Cicendo","Masih Dalam Penyelidikan"
"Sunday, September 29, 2019","57","Bandung Kulon","Pembakaran Obat Nyamuk"
"Monday, September 30, 2019","23","Andir","Masih Dalam Penyelidikan"
"Monday, September 30, 2019","40","Antapani","Korsleting Accu"
"Tuesday, October 01, 2019","71","Cibeunying Kidul","Masih Dalam Penyelidikan"
"Tuesday, October 01, 2019","75","Bojongloa Kidul","Masih Dalam Penyelidikan"
"Wednesday, October 02, 2019","103","Panyileukan","Masih Dalam Penyelidikan"
"Wednesday, October 02, 2019","228","Buahbatu","Masih Dalam Penyelidikan"
"Friday, October 04, 2019","42","Ujungberung","Masih Dalam Penyelidikan"
"Friday, October 04, 2019","75","Cibeunying Kaler","Masih Dalam Penyelidikan"
"Saturday, October 05, 2019","60","Coblong","Masih Dalam Penyelidikan"
"Saturday, October 05, 2019","60","Kiaracondong","Masih Dalam Penyelidikan"
"Saturday, October 05, 2019","25","Sumur Bandung","Pembakaran Sampah"
"Saturday, October 05, 2019","30","Andir","Masih Dalam Penyelidikan"
"Saturday, October 05, 2019","57","Cibeunying Kidul","Masih Dalam Penyelidikan"
"Sunday, October 06, 2019","100","Mandalajati","Dari Endapan Sampah Plastik Menghasilkan Bio Gas"
"Sunday, October 06, 2019","27","Cicendo","Korsleting Listrik"
"Monday, October 07, 2019","60","Sukasari","Masih Dalam Penyelidikan"
"Tuesday, October 08, 2019","15","Babakan Ciparay","Kebocoran Tabung Gas"
"Wednesday, October 09, 2019","109","Coblong","Kompor"
"Wednesday, October 09, 2019","93","Bandung Kulon","Masih Dalam Penyelidikan"
"Thursday, October 10, 2019","32","Lengkong","Masih Dalam Penyelidikan"
"Friday, October 11, 2019","80","Cidadap","Masih Dalam Penyelidikan"
"Saturday, October 12, 2019","25","Batununggal","Masih Dalam Penyelidikan"
"Sunday, October 13, 2019","51","Cinambo","Pembakaran Oleh Anak-Anak"
"Monday, October 14, 2019","105","Ujungberung","Masih Dalam Penyelidikan"
"Tuesday, October 15, 2019","32","Panyileukan","Kebocoran Tabung Gas"
"Tuesday, October 15, 2019","58","Rancasari","Masih Dalam Penyelidikan"
"Wednesday, October 16, 2019","54","Kiaracondong","Masih Dalam Penyelidikan"
"Saturday, October 19, 2019","18","Sumur Bandung","Masih Dalam Penyelidikan"
"Saturday, October 19, 2019","146","Cibiru","Pembakaran Sampah"
"Sunday, October 20, 2019","256","Cidadap","Masih Dalam Penyelidikan"
"Monday, October 21, 2019","44","Lengkong","Masih Dalam Penyelidikan"
"Monday, October 21, 2019","138","Cidadap","Masih Dalam Penyelidikan"
"Monday, October 21, 2019","35","Bojongloa Kaler","Masih Dalam Penyelidikan"
"Monday, October 21, 2019","32","Bojongloa Kaler","Masih Dalam Penyelidikan"
"Monday, October 21, 2019","25","Ujungberung","Korsleting Listrik"
"Tuesday, October 22, 2019","216","Lengkong","Masih Dalam Penyelidikan"
"Tuesday, October 22, 2019","57","Ujungberung","Masih Dalam Penyelidikan"
"Tuesday, October 22, 2019","182","Cidadap","Masih Dalam Penyelidikan"
"Tuesday, October 22, 2019","87","Cibiru","Masih Dalam Penyelidikan"
"Wednesday, October 23, 2019","60","Mandalajati","Masih Dalam Penyelidikan"
"Wednesday, October 23, 2019","60","Babakan Ciparay","Masih Dalam Penyelidikan"
"Wednesday, October 23, 2019","77","Cibiru","Masih Dalam Penyelidikan"
"Thursday, October 24, 2019","290","Cidadap","Masih Dalam Penyelidikan"
"Thursday, October 24, 2019","640","Panyileukan","Pembakaran Sampah"
"Thursday, October 24, 2019","48","Bandung Kulon","Masih Dalam Penyelidikan"
"Thursday, October 24, 2019","130","Cidadap","Pembakaran Sampah"
"Saturday, October 26, 2019","108","Cinambo","Masih Dalam Penyelidikan"
"Saturday, October 26, 2019","45","Antapani","Pembakaran Sampah"
"Tuesday, October 29, 2019","105","Cibeunying Kidul","Pembakaran Obat Nyamuk"
"Wednesday, October 30, 2019","80","Bojongloa Kidul","Masih Dalam Penyelidikan"
"Wednesday, October 30, 2019","-","Babakan Ciparay","Korsleting Listrik"
"Wednesday, October 30, 2019","-","-","Masih Dalam Penyelidikan"
"Thursday, October 31, 2019","-","-","Pembakaran Obat Nyamuk"
"Monday, November 04, 2019","36","Cicendo","Korsleting Listrik"
"Saturday, November 09, 2019","40","Arcamanik","Diduga Dari Lilin"
"Tuesday, November 12, 2019","20","Batununggal","Diduga Dari Obat Nyamuk"
"Tuesday, November 12, 2019","44","Cibeunying Kidul","Masih Dalam Penyelidikan"
"Wednesday, November 13, 2019","82","Coblong","Masih Dalam Penyelidikan"
"Saturday, November 16, 2019","50","Panyileukan","Korsleting Listrik"
"Saturday, November 16, 2019","58","Sukajadi","Masih Dalam Penyelidikan"
"Monday, November 18, 2019","60","Mandalajati","Masih Dalam Penyelidikan"
"Tuesday, November 19, 2019","52","Sukasari","Masih Dalam Penyelidikan"
"Friday, November 22, 2019","-","Bandung Kidul","Korsleting Listrik"
"Tuesday, November 26, 2019","95","Coblong","Masih Dalam Penyelidikan"
"Friday, November 01, 2019","44","Astanaanyar","Korsleting Listrik"
"Friday, November 08, 2019","46","Cicendo","Korsleting Listrik"
"Friday, November 15, 2019","22","Bandung Wetan","Masih Dalam Penyelidikan"
"Monday, November 18, 2019","20","Cicendo","Korsleting Listrik"
"Saturday, November 23, 2019","28","Lengkong","Korsleting Accu"
"Saturday, November 23, 2019","25","Arcamanik","Masih Dalam Penyelidikan"
"Monday, November 25, 2019","24","Astanaanyar","Diduga Dari Minyak Panas Disiram Air"
"Saturday, November 30, 2019","35","Arcamanik","Masih Dalam Penyelidikan"
"Friday, December 06, 2019","30","Sukajadi","Masih Dalam Penyelidikan"
"Saturday, December 14, 2019","39","Batununggal","Masih Dalam Penyelidikan"
"Monday, December 16, 2019","12","Bandung Wetan","Korsleting Listrik"
"Monday, December 16, 2019","48","Sumur Bandung","Korsleting Listrik"
"Thursday, December 19, 2019","65","Sukajadi","Kebocoran Tabung Gas"
"Sunday, December 22, 2019","158","Astanaanyar","Masih Dalam Penyelidikan"
"Sunday, December 22, 2019","19","Cicendo","Korseleting Listrik Kulkas"
"Sunday, December 29, 2019","25","Batununggal","Masih Dalam Penyelidikan"
"Tuesday, December 31, 2019","47","Cibeunying Kaler","Masih Dalam Penyelidikan"
"Tuesday, December 03, 2019","30","Astanaanyar","Korsleting Listrik"
"Wednesday, December 18, 2019","20","Regol","Masih Dalam Penyelidikan"
"Tuesday, December 24, 2019","30","Bandung Wetan","Masih Dalam Penyelidikan"
"Friday, December 27, 2019","26","Babakan Ciparay","Masih Dalam Penyelidikan"
