"Tanggal","Durasi (Menit)","Kecamatan","Penyebab Kebakaran"
"Saturday, June 09, 2018","70","Andir","Korsleting Listrik"
"Sunday, June 10, 2018","180","Ujungberung","Dalam Penyelidikan"
"Tuesday, June 12, 2018","60","Panyileukan","Kebocoran Tabung"
"Thursday, June 14, 2018","30","Lengkong","Kebocoran Tabung"
"Thursday, June 14, 2018","80","Bandung Kidul","Dalam Penyelidikan"
"Saturday, June 16, 2018","36","Batununggal","Korsleting Listrik"
"Sunday, June 17, 2018","60","Sumur Bandung","Pembakaran oleh Orang Kurang Waras"
"Sunday, June 17, 2018","30","Bojongloa Kaler","Kebocoran Tabung"
"Monday, June 18, 2018","-","Lengkong","Obat Nyamuk Bakar"
"Friday, June 22, 2018","15","Lengkong","Korsleting Listrik"
"Saturday, June 23, 2018","35","Sukajadi","Dalam Penyelidikan"
"Sunday, June 24, 2018","60","Ujungberung","Bakaran Korek Api"
"Monday, June 25, 2018","53","Astanaanyar","Korsleting Listrik"
"Tuesday, June 26, 2018","40","Astanaanyar","Korsleting Listrik"
"Sunday, July 01, 2018","130","Cibeunying Kidul","Dalam Penyelidikan"
"Tuesday, July 03, 2018","83","Cicendo","Rokok"
"Tuesday, July 03, 2018","83","Cicendo","Rokok"
"Wednesday, July 04, 2018","67","Bojongloa Kidul","Dalam Penyelidikan"
"Wednesday, July 04, 2018","7","Bojongloa Kidul","Dalam Penyelidikan"
"Thursday, July 05, 2018","36","Bandung Wetan","Dalam Penyelidikan"
"Friday, July 06, 2018","88","Buahbatu","Rokok"
"Saturday, July 07, 2018","38","Bojongloa Kidul","Dalam Penyelidikan"
"Saturday, July 07, 2018","212","Bandung Kulon","Korek Api"
"Sunday, July 08, 2018","115","Babakan Ciparay","Dalam Penyelidikan"
"Monday, July 09, 2018","45","Bandung Wetan","Dalam Penyelidikan"
"Monday, July 09, 2018","150","Sumur Bandung","Kompor Gas"
"Wednesday, July 11, 2018","40","Astanaanyar","Kebocoran Tabung"
"Wednesday, July 11, 2018","43","Kiaracondong","Pembakaran Sampah"
"Thursday, July 12, 2018","37","Cinambo","Api dari alat pemotong besi menyambar rumput"
"Friday, July 13, 2018","49","Panyileukan","Pembakaran Sampah"
